6,12,鯉魚山親山步道,https://www.google.com/maps/place/?q=place_id:ChIJg8RfpvusQjQR0BOk4b6q8vc,峰碧山圓覺寺,465.0
10,1,頂山石梯嶺步道,https://www.google.com/maps/place/?q=place_id:ChIJF4nfAmetQjQRe1JAfhYOmkE,頂山石梯嶺步道,358.0
30,12,忘憂谷步道,https://www.google.com/maps/place/?q=place_id:ChIJR3oKC51FXTQRV7n_bJH8yjI,深澳岬角(象鼻岩景觀區),7922.0
31,5,圓山水神社步道,https://www.google.com/maps/place/?q=place_id:ChIJvSndIK-uQjQRkxK5E0SSCkA,劍潭山,75.0
32,1,狗殷勤古道,https://www.google.com/maps/place/?q=place_id:ChIJn4qMNpitQjQRmFr-ZpJ11tA,狗殷勤步道 | 尾崙水圳,277.0
33,1,翠山步道,https://www.google.com/maps/place/?q=place_id:ChIJFS7opaytQjQRAfXGzI9AlPo,翠山步道,835.0
34,5,劍潭山親山步道,https://www.google.com/maps/place/?q=place_id:ChIJaUI2266uQjQR3qYBMILJGXs,劍潭山親山步道拓印亭,50.0
35,1,大崙頭尾山親山步道,https://www.google.com/maps/place/?q=place_id:ChIJ2S62qgGtQjQRp4DHpwjGhdI,大崙頭山,68.0
36,1,坪頂古圳親山步道,https://www.google.com/maps/place/?q=place_id:ChIJD6qy852tQjQRo9qCS0u_GDo,坪頂古圳,557.0
37,6,台大椰林步道,https://www.google.com/maps/place/?q=place_id:ChIJCSiFh4apQjQRBuQ_YPVU8y4,健行筆記,22.0
38,10,福州山步道,https://www.google.com/maps/place/?q=place_id:ChIJ7yR7YT-qQjQR65dWFERy8Jo,中埔山登山步道口,50.0
39,4,中埔山步道,https://www.google.com/maps/place/?q=place_id:ChIJyVaR0j6qQjQRAk-DeASV22s,中埔山東峰,225.0
40,3,劍南山步道,https://www.google.com/maps/place/?q=place_id:ChIJFxw7ExesQjQRtq2B40oOyVw,劍南山夜景,1833.0
42,5,碧湖親山步道(新福本坑),https://www.google.com/maps/place/?q=place_id:ChIJlzveTiCtQjQRSWENWLphijY,圓覺瀑布,1210.0
43,3,康樂山登山步道,https://www.google.com/maps/place/?q=place_id:ChIJ14_417-sQjQRG_ki6ZMODws,白鷺鷥登山步道,891.0
44,11,忠勇山親山步道,https://www.google.com/maps/place/?q=place_id:ChIJMdRI__isQjQResPXBQZCTQA,忠勇山,42.0
45,3,明舉山步道,https://www.google.com/maps/place/?q=place_id:ChIJEQNOBcesQjQRqSKQ5Himw6k,康樂山,21.0
46,5,白鷺鷥山親山步道,https://www.google.com/maps/place/?q=place_id:ChIJp6s0vUWsQjQRLocNbrRbuqA,金面山步道,3958.0
47,2,指南宮貓空親山步道,https://www.google.com/maps/place/?q=place_id:ChIJU8hzRJ2qQjQR5pha4F-1Y0A,指南宮後山步道,120.0
48,3,樟樹步道,https://www.google.com/maps/place/?q=place_id:ChIJs05trzIAaDQRA_N__CtiVgc,樟樹步道北口,0.0
49,2,仙跡岩步道,https://www.google.com/maps/place/?q=place_id:ChIJQ8qYBAaqQjQROF8kRPfMc_4,景美仙跡岩,157.0
50,2,銀河洞越嶺登山步道,https://www.google.com/maps/place/?q=place_id:ChIJxSNAVTUAaDQR7vNyKE1bJtU,銀河瀑布｜銀河洞,3323.0
51,4,筆架山越嶺登山步道,https://www.google.com/maps/place/?q=place_id:ChIJ_____-__ZzQR4KnO34EmpYs,二格山,415.0
